,year,sheet,columns,n_columns
0,2019-2020,Header and Contact,"ADDRESS, CITY_STATE_ZIP, COUNTY_CODE, COUNTY_NAME, DISTRICT_CODE, DISTRICT_NAME, EMAIL, FACEBOOK, GRADESPAN, PHONE, PRINCIPAL_NAME, SCHOOL_CODE, SCHOOL_NAME, School Notes, TWITTER, WEBSITE",16
1,2019-2020,EnrollmentTrendsbyGrade,"CountyCode, CountyName, DistrictCode, DistrictName, Grade01, Grade02, Grade03, Grade04, Grade05, Grade06, Grade07, Grade08, Grade09, Grade10, Grade11, Grade12, GradeKG, GradePK, SchoolCode, SchoolName, Total",21
2,2019-2020,EnrollmentTrendsByStudentGroup,"CountyCode, CountyName, DistrictCode, DistrictName, Economically Disadvantaged Students, English Learners, Female, Homeless Students, Male, Migrant Students, Military-Connected Students, Non-Binary/Undesignated Gender, SchoolCode, SchoolName, Students in Foster Care, Students with Disabilities",16
3,2019-2020,EnrollmentByRacialEthnicGroup,"American Indian or Alaska Native, Asian, Black or African American, CountyCode, CountyName, DistrictCode, DistrictName, Hispanic, Native Hawaiian or Pacific Islander, SchoolCode, SchoolName, Two or More Races, White",13
4,2019-2020,PreKAndK-FullDayHalfDay,"CountyCode, CountyName, DistrictCode, DistrictName, KG_FULL, KG_HALF, PK_FULL, PK_HALF, SchoolCode, SchoolName",10
5,2019-2020,EnrollmentTrendsFullSharedTime,"CountyCode, CountyName, DistrictCode, DistrictName, FTE, FULL, SHARED, SchoolCode, SchoolName",9
6,2019-2020,EnrollmentByHomeLanguage,"%OfStudents, CountyCode, CountyName, DistrictCode, DistrictName, HomeLanguage, SchoolCode, SchoolName",8
7,2019-2020,StudentGrowthTrends,"CountyCode, CountyName, DistrictCode, DistrictName, MedianStudentGrowthPercentile, MetStandard, SchoolCode, SchoolName, SchoolYear, StateMedianStudentGrowthPercentile, Subject",11
8,2019-2020,ELAMathPerformanceTrends,"AnnualTarget, CountyCode, CountyName, DistrictCode, DistrictName, MetAnnualTarget, ParticipationRate, ProficiencyRateforFederalAccountability, SchoolCode, SchoolName, SchoolYear, StatewideProficiencyRateforFederalAccountability, Subject",13
9,2019-2020,PSAT-SAT-ACTParticipation,"ACT, CountyCode, CountyName, DistrictCode, DistrictName, PSAT, SAT, STATE_ACT, STATE_PSAT, STATE_SAT, SchoolCode, SchoolName",12
10,2019-2020,PSAT-SAT-ACTPerformance,"BT_PCT, Benchmark, CountyCode, CountyName, DistrictCode, DistrictName, STATE_BT_PCT, SchoolCode, SchoolName, School_Avg, State_avg, Subject, Test",13
11,2019-2020,APIBCourseworkPartPerf,"AP3_IB4_SCHOOL, AP3_IB4_STATE, APIB_COURSE_SCHOOL, APIB_COURSE_STATE, APIB_EXAM_SCHOOL, APIB_EXAM_STATE, CountyCode, CountyName, DUAL_SCHOOL, DUAL_STATE, DistrictCode, DistrictName, SchoolCode, SchoolName",14
12,2019-2020,APIBCoursesOffered,"CountyCode, CountyName, Course_Name, DistrictCode, DistrictName, STUDENT_ENROLL_COUNT, STUDENT_TESTED_COUNT, SchoolCode, SchoolName",9
13,2019-2020,CTE_SLEParticipation,"CTEConcentratorsSchool, CTEConcentratorsState, CTEParticipationSchool, CTEParticipationState, CountyCode, CountyName, DistrictCode, DistrictName, IVCSchool, IVCState, SLESchool, SLEState, SchoolCode, SchoolName",14
14,2019-2020,CTEParticipationByStudentGroup,"CountyCode, CountyName, DistrictCode, DistrictName, SchoolCTEConcentrators, SchoolCTEParticipants, SchoolCode, SchoolName, StateCTEConcentrators, StateCTEParticipants, StudentGroup",11
15,2019-2020,IndustryValuedCredentialsEarned,"AtleastOneCredentialEarned, CareerCluster, CountyCode, CountyName, DistrictCode, DistrictName, IndustryCredentialsEarned, SchoolCode, SchoolName, StudentsEnrolledInProgram",10
16,2019-2020,MathCourseParticipation,"Algebra I, Algebra II, Calculus, CountyCode, CountyName, DistrictCode, DistrictName, Geometry, Grade, Other Math, Pre_Calculus, SchoolCode, SchoolName, Statistics",14
17,2019-2020,ScienceCourseParticipation,"Biology, Chemistry, CountyCode, CountyName, DistrictCode, DistrictName, Earth and Space Science, Environmental Science, Grade, Other Science, Physics, SchoolCode, SchoolName",13
18,2019-2020,SocStudiesHistoryCourseParticip,"CountyCode, CountyName, DistrictCode, DistrictName, Economics, Grade, Other Social Studies or History, Psychology, SchoolCode, SchoolName, Sociology, US History I & II, World History",13
19,2019-2020,WorldLanguagesCourseParticipati,"Chinese, CountyCode, CountyName, DistrictCode, DistrictName, French, German, Grade, Italian, Latin, Other Languages, SchoolCode, SchoolName, Spanish",14
20,2019-2020,ComputerScienceCourseParticipat,"COUNTY_CODE, COUNTY_NAME, Computer Programming, Computing Systems, DISTRICT_CODE, DISTRICT_NAME, Grade, Information Systems, Networking, Other Computer Science, Other IT, SCHOOL_CODE, SCHOOL_NAME",13
21,2019-2020,SealofBiliteracy,"CountyCode, CountyName, DistrictCode, DistrictName, Language, SchoolCode, SchoolName, SealsEarned",8
22,2019-2020,VisualAndPerformingArts,"AnyVisualPerfArt_School, AnyVisualPerfArt_State, CountyCode, CountyName, Dance_School, Dance_State, DistrictCode, DistrictName, Drama_School, Drama_State, Grades, Music_School, Music_State, SchoolCode, SchoolName, VisArts_School, VisArts_State",17
23,2019-2020,GraduatonRateTrendsProgress,"AnnualTarget, CohortYear, CountyCode, CountyName, DistrictCode, DistrictName, GraduationRate, GraduationRateType, MetAnnualTarget, SchoolCode, SchoolName, StatewideGraduationRate",12
24,2019-2020,4YrGraduationCohortProfile,"Continuing Students, CountyCode, CountyName, DistrictCode, DistrictName, Graduates, Non-Continuing Student, SchoolCode, SchoolName, State: Continuing Students, State: Graduates, State: Non-Continuing Student, StudentGroup",13
25,2019-2020,5YrGraduationCohortProfile,"Continuing Students, CountyCode, CountyName, DistrictCode, DistrictName, Graduates, Non-Continuing Student, SchoolCode, SchoolName, State: Continuing Students, State: Graduates, State: Non-Continuing Student, StudentGroup",13
26,2019-2020,AccountabilityGraduationRates,"Cohort 2018: 5-YearGraduationRate, Cohort 2018: AnnualTarget, Cohort 2018: MetTarget, Cohort 2019: AnnualTarget, Cohort 2019: MetTarget, Cohort 2019:4-YearGraduationRate, CountyCode, CountyName, DistrictCode, DistrictName, SchoolCode, SchoolName, StudentGroup",13
27,2019-2020,GraduationPathways,"AlternateReqIEP, CountyCode, CountyName, DistrictCode, DistrictName, ELA/Math, PortfolioAppealsProcess, ReqWaivedUnderExecOrder117, SchoolCode, SchoolName, StatewideAssessment, SubstituteCompetency, Unknown",13
28,2019-2020,DropoutRateTrends,"CountyCode, CountyName, DistrictCode, DistrictName, Dropout_School, Dropout_State, SchoolCode, SchoolName",8
29,2019-2020,PostSecondaryEnrRateSummary,"ClassYear, CountyCode, CountyName, DistrictCode, DistrictName, PercentEnrolledIn2YearInstitution, PercentEnrolledIn4YearInstitution, PercentEnrolledInAnyInstitution, SchoolCode, SchoolName",10
30,2019-2020,PostsecondaryEnrRatesFall,"CountyCode, CountyName, DistrictCode, DistrictName, Enrolled2Yr, Enrolled4Yr, EnrolledPercent, SchoolCode, SchoolName, StudentGroup",10
31,2019-2020,PostsecondaryEnrRates16mos,"CountyCode, CountyName, DistrictCode, DistrictName, Enrolled2Yr, Enrolled4Yr, EnrolledInState, EnrolledOutState, EnrolledPercent, EnrolledPrivate, EnrolledPublic, SchoolCode, SchoolName, StudentGroup",14
32,2019-2020,ViolenceVandalismHIBSubstanceOf,"CountyCode, CountyName, DistrictCode, DistrictName, Harassment, Intimidation, Bullying (HIB), Incidents Per 100 Students Enrolled, SchoolCode, SchoolName, Substances, Total Unique Incidents, Vandalism, Violence, Weapons",13
33,2019-2020,PoliceNotifications,"CountyCode, CountyName, DistrictCode, DistrictName, Harassment, Intimidation, Bullying (HIB), Other Incidents, SchoolCode, SchoolName, Substances, Vandalism, Violence, Weapons",12
34,2019-2020,HIBInvestigations,"CountyCode, CountyName, DistrictCode, DistrictName, HIBAlleged, HIBConfirmed, HIBNature, SchoolCode, SchoolName, TotalHIBInvestigations",10
35,2019-2020,DisciplinaryRemovals,"AnySusp_Count, AnySusp_Pct, Arrest_Count, Arrest_Pct, CountyCode, CountyName, DistrictCode, DistrictName, Expulsion_Count, Expulsion_Pct, InSchool_Count, InSchool_Pct, OutofSchool_Count, OutofSchool_Pct, Removal_Count, Removal_Pct, SchoolCode, SchoolDaysMissed_OSS, SchoolName",19
36,2019-2020,SchoolDay,"CountyCode, CountyName, DistrictCode, DistrictName, InstructionFullTime, InstructionSharedTime, LengthOfDay, SchoolCode, SchoolName, TypicalEndTime, TypicalStartTime",11
37,2019-2020,TeachersExperience,"CountyCode, CountyName, DistrictCode, DistrictName, NumberOfOutOfFieldTeachers, NumberOfOutOfFieldTeachers_State, SchoolCode, SchoolName, TeacherAvgYearsExpInDistrict_School, TeacherAvgYearsExpInDistrict_State, TeacherAvgYearsExp_School, TeacherAvgYearsExp_State, TeacherCount_School, TeacherCount_State, TeacherInDistrict4YearsOrMore_School, TeacherInDistrict4YearsOrMore_State",16
38,2019-2020,AdministratorsExperience,"AdminAvgYearsExpInDistrict_District, AdminAvgYearsExpInDistrict_State, AdminAvgYearsExp_District, AdminAvgYearsExp_State, AdminCount_District, AdminCount_State, AdminInDistrict4YearsOrMore_District, AdminInDistrict4YearsOrMore_State, CountyCode, CountyName, DistrictCode, DistrictName",12
39,2019-2020,StudentToStaffRatios,"CountyCode, CountyName, DistrictCode, DistrictName, SchoolCode, SchoolName, Student_Admin_District, Student_Admin_School, Student_ChildStudy_District, Student_Counselor_District, Student_Librarian_District, Student_Nurse_District, Student_Teacher_District, Student_Teacher_School, Teacher_Admin_District, Teacher_Admin_School",16
40,2019-2020,TeachersAdminsDemographics,"American Indian or Alaska Native, Asian, Black or African American, CountyCode, CountyName, DistrictCode, DistrictName, Female, Hispanic, Male, Native Hawaiian or Pacific Islander, Non-Binary/Undesignated Gender, SchoolCode, SchoolName, Teachers/Admins/Students, Two or More Races, White",17
41,2019-2020,TeachersAdminsLevelOfEducation,"Bachelors, CountyCode, CountyName, DistrictCode, DistrictName, Doctoral, Masters, SchoolCode, SchoolName, Teachers/Admins",10
42,2019-2020,TeachersAdminsOneYearRetention,"CountyCode, CountyName, DistrictCode, DistrictName, RetentionPct_District, RetentionPct_State, Teachers/Admins",7
43,2019-2020,ESSAAccountabilityStatus,"CategoryOfIdentification, CountyCode, CountyName, DistrictCode, DistrictName, Notes, SchoolCode, SchoolName, StatusForSY, StudentGroupStatus_AmericanIndian, StudentGroupStatus_Asian, StudentGroupStatus_Black, StudentGroupStatus_EL, StudentGroupStatus_EconDis, StudentGroupStatus_Hispanic, StudentGroupStatus_SWD, StudentGroupStatus_TwoorMoreRaces, StudentGroupStatus_White, YearEligibleToExitStatus",19
44,2019-2020,ESSAAccountabilityProgress,"4YearGraduationRate, 5YearGraduationRate, ChronicAbsenteeism, CountyCode, CountyName, DistrictCode, DistrictName, ELA Growth, ELAProficiency, Math Growth, MathProficiency, ProgressTowardEnglishLanguageProficiency, SchoolCode, SchoolName, SchoolYear",15
45,2019-2020,Narrative,"Awards, ClimateNarrative, ClimateSurveyUsed, Clubs, CountyCode, CountyName, Courses, DistrictCode, DistrictName, EarlyChildhood, Facilities, Health, Highlight1, Highlight2, Highlight3, LearningDuringCOVID-19:, Mission, OtherInformation, Parent, Postsecondary, Programs, SchoolCode, SchoolName, SchoolSafety, Sports, SportsNarrative, Staff, Supports, TechnologySTEM, WholsSurveyed, __UNNAMED__30",31
46,2019-2020,HIBInvestigations1,"CountyCode, CountyName, DistrictCode, DistrictName, HIBAlleged, HIBConfirmed, HIBNature, SchoolCode, SchoolName, TotalHIBInvestigations",10
