,year,sheet,columns,n_columns
0,2021-2022,Header and Contact,"ADDRESS, CITY_STATE_ZIP, COUNTY_CODE, COUNTY_NAME, DISTRICT_CODE, DISTRICT_NAME, EMAIL, FACEBOOK, GRADESPAN, PHONE, PRINCIPAL_NAME, SCHOOL_CODE, SCHOOL_NAME, School Notes, TWITTER, WEBSITE",16
1,2021-2022,EnrollmentTrendsbyGrade,"CountyCode, CountyName, DistrictCode, DistrictName, Grade01, Grade02, Grade03, Grade04, Grade05, Grade06, Grade07, Grade08, Grade09, Grade10, Grade11, Grade12, GradeKG, GradePK, SchoolCode, SchoolName, Total",21
2,2021-2022,EnrollmentTrendsByStudentGroup,"CountyCode, CountyName, DistrictCode, DistrictName, Economically Disadvantaged Students, English Learners, Female, Homeless Students, Male, Migrant Students, Military-Connected Students, Non-Binary/Undesignated Gender, SchoolCode, SchoolName, Students in Foster Care, Students with Disabilities",16
3,2021-2022,EnrollmentByRacialEthnicGroup,"American Indian or Alaska Native, Asian, Black or African American, CountyCode, CountyName, DistrictCode, DistrictName, Hispanic, Native Hawaiian or Pacific Islander, SchoolCode, SchoolName, Two or More Races, White",13
4,2021-2022,PreKAndK-FullDayHalfDay,"CountyCode, CountyName, DistrictCode, DistrictName, KG_FULL, KG_HALF, PK_FULL, PK_HALF, SchoolCode, SchoolName",10
5,2021-2022,EnrollmentTrendsFullSharedTime,"CountyCode, CountyName, DistrictCode, DistrictName, FTE, FULL, SHARED, SchoolCode, SchoolName",9
6,2021-2022,EnrollmentByHomeLanguage,"%OfStudents, CountyCode, CountyName, DistrictCode, DistrictName, HomeLanguage, SchoolCode, SchoolName",8
7,2021-2022,ELAMathPerformanceTrends,"AnnualTarget, CountyCode, CountyName, DistrictCode, DistrictName, MetAnnualTarget, ParticipationRate, ProficiencyRateforFederalAccountability, SchoolCode, SchoolName, SchoolYear, StatewideProficiencyRateforFederalAccountability, Subject",13
8,2021-2022,ELAParticipationPerformance,"% of Students taking test, Annual Target, CountyCode, CountyName, District: % of testers met/exceeded expectations, DistrictCode, DistrictName, Met Annual Target, Proficiency Rate for Federal Accountability, School: % of testers met/exceeded expecations, SchoolCode, SchoolName, State: % of testers met/exceeded expectations, Student Groups, Valid Scores",15
9,2021-2022,ELAPerformanceTrends,"% Met/Exceeded Expectation, CountyCode, CountyName, DistrictCode, DistrictName, Grades, SchoolCode, SchoolName, SchoolYear",9
10,2021-2022,ELAPerformanceByGrade,"% Level 1, % Level 2, % Level 3, % Level 4, % Level 5, % testers met or exceeded expectations, CountyCode, CountyName, District Mean Scale Score, DistrictCode, DistrictName, Grade/Subject, School Mean Scale Score, SchoolCode, SchoolName, State Mean Scale Score, State: % testers met or exceeded expectations, Student Group, Valid Scores",19
11,2021-2022,MathParticipationPerformance,"% of Students taking test, Annual Target, CountyCode, CountyName, District: % of testers met/exceeded expectations, DistrictCode, DistrictName, Met Annual Target, Proficiency Rate for Federal Accountability, School: % of testers met/exceeded expecations, SchoolCode, SchoolName, State: % of testers met/exceeded expectations, Student Groups, Valid Scores",15
12,2021-2022,MathPerformanceTrends,"% Met/Exceeded Expectation, CountyCode, CountyName, DistrictCode, DistrictName, Grades/Subject, SchoolCode, SchoolName, SchoolYear",9
13,2021-2022,MathPerformanceByGradeTest,"% Level 1, % Level 2, % Level 3, % Level 4, % Level 5, % testers met or exceeded expectations, CountyCode, CountyName, District Mean Scale Score, DistrictCode, DistrictName, Grade/Subject, School Mean Scale Score, SchoolCode, SchoolName, State Mean Scale Score, State: % testers met or exceeded expectations, Student Group, Valid Scores",19
14,2021-2022,ScienceAssessmentSummaryByGrade,"% Level 1, % Level 2, % Level 3, % Level 4, CountyCode, CountyName, DistrictCode, DistrictName, Grade, SchoolCode, SchoolName",11
15,2021-2022,ScienceAssessmentByGrade,"% Level 1, % Level 2, % Level 3, % Level 4, CountyCode, CountyName, DistrictCode, DistrictName, Grade, SchoolCode, SchoolName, Student Group",12
16,2021-2022,AlternateAssessmentParticipatio,"CountyCode, CountyName, DistrictCode, DistrictName, ELAStudentsTested, Grade, MathStudentsTested, SchoolCode, SchoolName",9
17,2021-2022,EnglishLangProgressToProficienc,"Annual Target, CountyCode, CountyName, DistrictCode, DistrictName, Expected growth to proficiency, Met Target, SchoolCode, SchoolName, Student Group",10
18,2021-2022,EnglishLangParticipationPerform,"#StudentsTested, %StudentsWithOverallScoreBelow4.5, %StudentsWithOverallScoreOf4.5AndAbove, CountyCode, CountyName, DistrictCode, DistrictName, SchoolCode, SchoolName, YearsInDistrict",10
19,2021-2022,PSAT-SAT-ACTParticipation,"ACT, CountyCode, CountyName, DistrictCode, DistrictName, PSAT, SAT, STATE_ACT, STATE_PSAT, STATE_SAT, SchoolCode, SchoolName",12
20,2021-2022,PSAT-SAT-ACTPerformance,"BT_PCT, Benchmark, CountyCode, CountyName, DistrictCode, DistrictName, STATE_BT_PCT, SchoolCode, SchoolName, School_Avg, State_avg, Subject, Test",13
21,2021-2022,APIBCourseworkPartPerf,"AP3_IB4_SCHOOL, AP3_IB4_STATE, APIB_COURSE_SCHOOL, APIB_COURSE_STATE, APIB_EXAM_SCHOOL, APIB_EXAM_STATE, CountyCode, CountyName, DUAL_SCHOOL, DUAL_STATE, DistrictCode, DistrictName, SchoolCode, SchoolName",14
22,2021-2022,APIBDualEnrPartByStudentGrp,"%EnrolledInOneOrMoreAPorIBCourse, %EnrolledInOneOrMoreDualEnrollmentCourse, CountyCode, CountyName, DistrictCode, DistrictName, SchoolCode, SchoolName, State%:%EnrolledInOneOrMoreAPorIBCourse, State:%EnrolledInOneOrMoreDualEnrollmentCourse, StudentGroup",11
23,2021-2022,APIBCoursesOffered,"CountyCode, CountyName, Course_Name, DistrictCode, DistrictName, STUDENT_ENROLL_COUNT, STUDENT_TESTED_COUNT, SchoolCode, SchoolName",9
24,2021-2022,CTE_SLEParticipation,"CTEConcentratorsSchool, CTEConcentratorsState, CTEParticipationSchool, CTEParticipationState, CountyCode, CountyName, DistrictCode, DistrictName, IVCSchool, IVCState, SLESchool, SLEState, SchoolCode, SchoolName",14
25,2021-2022,CTEParticipationByStudentGroup,"CountyCode, CountyName, DistrictCode, DistrictName, SchoolCTEConcentrators, SchoolCTEParticipants, SchoolCode, SchoolName, StateCTEConcentrators, StateCTEParticipants, StudentGroup",11
26,2021-2022,IndustryValuedCredentialsEarned,"AtleastOneCredentialEarned, CareerCluster, CountyCode, CountyName, DistrictCode, DistrictName, IndustryCredentialsEarned, SchoolCode, SchoolName, StudentsEnrolledInProgram",10
27,2021-2022,WorkbasedLearningByCareerClust,"CareerCluster, CountyCode, CountyName, DistrictCode, DistrictName, SchoolCode, SchoolName, StudentsParticipatingInWork-BasedLearning",8
28,2021-2022,MathCourseParticipation,"Algebra I, Algebra II, Calculus, CountyCode, CountyName, DistrictCode, DistrictName, Geometry, Grade, Other Math, Pre_Calculus, SchoolCode, SchoolName, Statistics",14
29,2021-2022,ScienceCourseParticipation,"Biology, Chemistry, CountyCode, CountyName, DistrictCode, DistrictName, Earth and Space Science, Environmental Science, Grade, Other Science, Physics, SchoolCode, SchoolName",13
30,2021-2022,WorldLanguagesCourseParticipati,"Chinese, CountyCode, CountyName, DistrictCode, DistrictName, French, German, Grade, Italian, Latin, Other Languages, SchoolCode, SchoolName, Spanish",14
31,2021-2022,SocStudiesHistoryCourseParticip,"CountyCode, CountyName, DistrictCode, DistrictName, Economics, Grade, Other Social Studies or History, Psychology, SchoolCode, SchoolName, Sociology, US History I & II, World History",13
