,year,sheet,columns,n_columns
0,2020-2021,Header and Contact,"ADDRESS, CITY_STATE_ZIP, COUNTY_CODE, COUNTY_NAME, DISTRICT_CODE, DISTRICT_NAME, EMAIL, FACEBOOK, GRADESPAN, PHONE, PRINCIPAL_NAME, SCHOOL_CODE, SCHOOL_NAME, School Notes, TWITTER, WEBSITE",16
1,2020-2021,EnrollmentTrendsbyGrade,"CountyCode, CountyName, DistrictCode, DistrictName, Grade01, Grade02, Grade03, Grade04, Grade05, Grade06, Grade07, Grade08, Grade09, Grade10, Grade11, Grade12, GradeKG, GradePK, SchoolCode, SchoolName, Total",21
2,2020-2021,EnrollmentTrendsByStudentGroup,"CountyCode, CountyName, DistrictCode, DistrictName, Economically Disadvantaged Students, English Learners, Female, Homeless Students, Male, Migrant Students, Military-Connected Students, Non-Binary/Undesignated Gender, SchoolCode, SchoolName, Students in Foster Care, Students with Disabilities",16
3,2020-2021,EnrollmentByRacialEthnicGroup,"American Indian or Alaska Native, Asian, Black or African American, CountyCode, CountyName, DistrictCode, DistrictName, Hispanic, Native Hawaiian or Pacific Islander, SchoolCode, SchoolName, Two or More Races, White",13
4,2020-2021,PreKAndK-FullDayHalfDay,"CountyCode, CountyName, DistrictCode, DistrictName, KG_FULL, KG_HALF, PK_FULL, PK_HALF, SchoolCode, SchoolName",10
5,2020-2021,EnrollmentTrendsFullSharedTime,"CountyCode, CountyName, DistrictCode, DistrictName, FTE, FULL, SHARED, SchoolCode, SchoolName",9
6,2020-2021,EnrollmentByHomeLanguage,"%OfStudents, CountyCode, CountyName, DistrictCode, DistrictName, HomeLanguage, SchoolCode, SchoolName",8
7,2020-2021,StudentGrowthTrends,"CountyCode, CountyName, DistrictCode, DistrictName, MedianStudentGrowthPercentile, MetStandard, SchoolCode, SchoolName, SchoolYear, StateMedianStudentGrowthPercentile, Subject",11
8,2020-2021,ELAMathPerformanceTrends,"AnnualTarget, CountyCode, CountyName, DistrictCode, DistrictName, MetAnnualTarget, ParticipationRate, ProficiencyRateforFederalAccountability, SchoolCode, SchoolName, SchoolYear, StatewideProficiencyRateforFederalAccountability, Subject",13
9,2020-2021,NJSLAELAPerformanceTrends,"CountyCode, CountyName, DistrictCode, DistrictName, Grade_Subject, MetExcExpPerc, SchoolCode, SchoolName, SchoolYear, Subject",10
10,2020-2021,NJSLAMathPerformanceTrends,"CountyCode, CountyName, DistrictCode, DistrictName, Grade_Subject, MetExcExpPerc, SchoolCode, SchoolName, SchoolYear, Subject",10
11,2020-2021,NJSLAScience,"CountyCode, CountyName, DistrictCode, DistrictName, Grade, LEVEL_1, LEVEL_2, LEVEL_3, LEVEL_4, SchoolCode, SchoolName, SchoolYear",12
12,2020-2021,AlternateAssessmentParticipatio,"CountyCode, CountyName, DistrictCode, DistrictName, ELAStudentsTested, Grade, MathStudentsTested, SchoolCode, SchoolName",9
13,2020-2021,EnglishLangParticipationPerform,"#StudentsTested, %StudentsWithOverallScoreBelow4.5, %StudentsWithOverallScoreOf4.5AndAbove, CountyCode, CountyName, DistrictCode, DistrictName, SchoolCode, SchoolName, YearsInDistrict",10
14,2020-2021,PSAT-SAT-ACTParticipation,"ACT, CountyCode, CountyName, DistrictCode, DistrictName, PSAT, SAT, STATE_ACT, STATE_PSAT, STATE_SAT, SchoolCode, SchoolName",12
15,2020-2021,PSAT-SAT-ACTPerformance,"BT_PCT, Benchmark, CountyCode, CountyName, DistrictCode, DistrictName, STATE_BT_PCT, SchoolCode, SchoolName, School_Avg, State_avg, Subject, Test",13
16,2020-2021,APIBCourseworkPartPerf,"AP3_IB4_SCHOOL, AP3_IB4_STATE, APIB_COURSE_SCHOOL, APIB_COURSE_STATE, APIB_EXAM_SCHOOL, APIB_EXAM_STATE, CountyCode, CountyName, DUAL_SCHOOL, DUAL_STATE, DistrictCode, DistrictName, SchoolCode, SchoolName",14
17,2020-2021,APIBDualEnrPartByStudentGrp,"%EnrolledInOneOrMoreAPorIBCourse, %EnrolledInOneOrMoreDualEnrollmentCourse, CountyCode, CountyName, DistrictCode, DistrictName, SchoolCode, SchoolName, State%:%EnrolledInOneOrMoreAPorIBCourse, State:%EnrolledInOneOrMoreDualEnrollmentCourse, StudentGroup",11
18,2020-2021,APIBCoursesOffered,"CountyCode, CountyName, Course_Name, DistrictCode, DistrictName, STUDENT_ENROLL_COUNT, STUDENT_TESTED_COUNT, SchoolCode, SchoolName",9
19,2020-2021,CTE_SLEParticipation,"CTEConcentratorsSchool, CTEConcentratorsState, CTEParticipationSchool, CTEParticipationState, CountyCode, CountyName, DistrictCode, DistrictName, IVCSchool, IVCState, SLESchool, SLEState, SchoolCode, SchoolName",14
20,2020-2021,CTEParticipationByStudentGroup,"CountyCode, CountyName, DistrictCode, DistrictName, SchoolCTEConcentrators, SchoolCTEParticipants, SchoolCode, SchoolName, StateCTEConcentrators, StateCTEParticipants, StudentGroup",11
21,2020-2021,IndustryValuedCredentialsEarned,"AtleastOneCredentialEarned, CareerCluster, CountyCode, CountyName, DistrictCode, DistrictName, IndustryCredentialsEarned, SchoolCode, SchoolName, StudentsEnrolledInProgram",10
22,2020-2021,WorkbasedLearningByCareerClust,"CareerCluster, CountyCode, CountyName, DistrictCode, DistrictName, SchoolCode, SchoolName, StudentsParticipatingInWork-BasedLearning",8
23,2020-2021,MathCourseParticipation,"Algebra I, Algebra II, Calculus, CountyCode, CountyName, DistrictCode, DistrictName, Geometry, Grade, Other Math, Pre_Calculus, SchoolCode, SchoolName, Statistics",14
