,year,sheet,columns,n_columns
0,2018-2019,Header and Contact,"ADDRESS, CITY_STATE_ZIP, COUNTY_CODE, COUNTY_NAME, DISTRICT_CODE, DISTRICT_NAME, EMAIL, FACEBOOK, GRADESPAN, PHONE, PRINCIPAL_NAME, SCHOOL_CODE, SCHOOL_NAME, School Notes, TWITTER, WEBSITE",16
1,2018-2019,EnrollmentTrendsbyGrade,"CountyCode, CountyName, DistrictCode, DistrictName, Grade01, Grade02, Grade03, Grade04, Grade05, Grade06, Grade07, Grade08, Grade09, Grade10, Grade11, Grade12, GradeKG, GradePK, SchoolCode, SchoolName, Total",21
2,2018-2019,EnrollmentTrendsByStudentGroup,"CountyCode, CountyName, DistrictCode, DistrictName, Economically Disadvantaged Students, English Learners, Female, Homeless Students, Male, Migrant Students, Military-Connected Students, SchoolCode, SchoolName, Students in Foster Care, Students with Disabilities",15
3,2018-2019,EnrollmentByRacialEthnicGroup,"American Indian or Alaska Native, Asian, Black or African American, CountyCode, CountyName, DistrictCode, DistrictName, Hispanic, Native Hawaiian or Pacific Islander, SchoolCode, SchoolName, Two or More Races, White",13
4,2018-2019,PreKAndK-FullDayHalfDay,"CountyCode, CountyName, DistrictCode, DistrictName, KG_FULL, KG_HALF, PK_FULL, PK_HALF, SchoolCode, SchoolName",10
5,2018-2019,EnrollmentTrendsFullSharedTime,"CountyCode, CountyName, DistrictCode, DistrictName, FTE, FULL, SHARED, SchoolCode, SchoolName",9
6,2018-2019,EnrollmentByHomeLanguage,"%OfStudents, CountyCode, CountyName, DistrictCode, DistrictName, HomeLanguage, SchoolCode, SchoolName",8
7,2018-2019,StudentGrowthTrends,"CountyCode, CountyName, DistrictCode, DistrictName, MedianStudentGrowthPercentile, MetStandard, SchoolCode, SchoolName, SchoolYear, StateMedianStudentGrowthPercentile, Subject",11
8,2018-2019,StudentGrowth,"CountyCode, CountyName, DistrictCode, DistrictMedian, DistrictName, MetTarget, SchoolCode, SchoolMedian, SchoolName, StateMedian, StudentGroup, Subject",12
9,2018-2019,StudentGrowthByGrade,"CountyCode, CountyName, DistrictCode, DistrictName, ELA/Math, Grade, SchoolCode, SchoolName, mSGP_School",9
10,2018-2019,StudentGrowthByPerformLevel,"CountyCode, CountyName, DistrictCode, DistrictName, ELA/Math, HighGrowth, LowGrowth, PARCC_PerformanceLevel, SchoolCode, SchoolName, TypicalGrowth",11
11,2018-2019,ELAMathPerformanceTrends,"AnnualTarget, CountyCode, CountyName, DistrictCode, DistrictName, MetAnnualTarget, ParticipationRate, ProficiencyRateforFederalAccountability, SchoolCode, SchoolName, SchoolYear, StatewideProficiencyRateforFederalAccountability, Subject",13
12,2018-2019,ELALiteracyParticipationPerform,"AnnualTarget, CountyCode, CountyName, DistrictCode, DistrictName, DistrictPerformance, MetTarget, ParticipationPercent, ProfRateFederalAccountability, SchoolCode, SchoolName, SchoolPerformance, StatePerformance, StudentGroup, Subject, ValidScores",16
13,2018-2019,MathParticipationPerform,"AnnualTarget, CountyCode, CountyName, DistrictCode, DistrictName, DistrictPerformance, MetTarget, ParticipationPercent, ProfRateFederalAccountability, SchoolCode, SchoolName, SchoolPerformance, StatePerformance, StudentGroup, Subject, ValidScores",16
14,2018-2019,ELAPerformanceTrends,"CountyCode, CountyName, DistrictCode, DistrictName, Grade_Subject, MetExcExpPerc, SchoolCode, SchoolName, Subject",9
15,2018-2019,ELALiteracyPerformanceByGrade,"CountyCode, CountyName, DistrictCode, DistrictMean, DistrictName, Grade, LEVEL_1, LEVEL_2, LEVEL_3, LEVEL_4, LEVEL_5, MeanScore, MetExceed, SchoolCode, SchoolName, StateMean, StateMet_Exceed, Student Group, ValidScores",19
16,2018-2019,MathPerformanceTrends,"CountyCode, CountyName, DistrictCode, DistrictName, Grade_Subject, MetExcExpPerc, SchoolCode, SchoolName, SchoolYear, Subject",10
